,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
862,E02000592,11489,1.1937505439986074,14.39136222,21.31341518,32.70226298,20.73657743,10.85638219,55.83493566,50.12559308,20.56935529,12.67094613,20.72178672,1292500.0,10.04229251730729,14.765236065924816
863,E02000054,707,1.2065063649222065,18.02664446,25.02081599,24.93755204,21.35720233,10.65778518,35.29003608,29.596250899999998,17.8442682,19.97116078,45.96169858,250000.0,7.254178346607189,13.122363377408329
864,E02000033,1920,1.1744791666666667,20.83870212,17.96884151,23.63828043,24.46995432,13.08422162,24.84479325,28.15797407,20.01808863,21.52547483,30.98278084,305000.0,8.253227713398607,13.321214236152182
865,E02000350,1807,1.0564471499723298,20.73247737,27.02588929,30.22521574,16.6070301,5.409387497000001,37.29741107,31.31761442,18.5852982,16.92094313,40.41254473,325000.0,8.192570547716004,13.384727641874187
866,E02000282,150,1.1933333333333334,28.88645091,20.70213933,23.22545255,19.15523862,8.030718596,11.89248491,28.788312800000003,13.31996563,19.47865941,42.81952825,190250.0,5.703793585582131,12.849241456290784
867,E02000253,104,1.1153846153846154,23.47383721,18.11669435,24.50166113,21.37666113,12.53114618,20.03737542,32.39850427,12.87393162,19.81837607,45.27616279,275000.0,5.337561192805306,13.21767355721196
868,E02000266,778,1.0475578406169666,23.75314249,22.75565648,23.80990998,20.81745195,8.863839105,17.96285784,24.09054163,13.82376718,20.80301805,77.29300138,237500.0,7.349874117767337,13.07107008302121
869,E02000438,703,1.2816500711237553,20.39190898,18.2806574,20.1011378,24.15929204,17.06700379,28.19216182,26.98996656,19.89966555,22.04013378,45.38558786,261250.0,7.248504578229084,13.166380262824767
870,E02000139,451,1.3015521064301552,19.06919275,15.85667216,28.59692477,25.89236683,10.58484349,33.4431631,33.69768894,23.14178638,21.11180512,16.84514003,286250.0,6.8046157491595265,13.257768014413582
871,E02000142,140,1.1357142857142857,20.42245021,14.50814725,23.33132167,25.75739288,15.98068799,31.11647556,27.53579044,24.03289674,25.79957356,14.78575739,277750.0,5.634802358027258,13.227623888065063
872,E02000750,4144,1.0933880308880308,21.06938852,30.40546868,31.37934264,13.10984175,4.035958423,33.67356494,30.64073227,17.75743707,15.08009153,54.08746137,246500.0,9.022563979057225,13.10826445302894
873,E02000388,2265,1.229139072847682,11.97268959,31.82150695,29.94391612,15.91075347,10.35113387,45.67178737,39.55321945,19.34296978,9.487516426000001,26.21311875,495000.0,8.418477267207882,13.805460222111792
874,E02000674,166,1.0903614457831325,22.03368684,18.19089208,23.04429195,25.71428571,11.01684342,26.68746101,27.84768212,17.41721854,19.20529801,55.74547723,247750.0,5.805144041227343,13.113322632756253
875,E02000280,2422,1.1729975227085054,21.22137405,15.877862599999998,23.02994715,25.09688784,14.77392836,23.92248972,28.64974033,21.49451818,21.98499711,17.874339399999997,284000.0,8.48549614729085,13.249876697706387
876,E02000052,614,1.200325732899023,17.35409363,21.71581769,29.41843679,19.8494535,11.66219839,44.54526707,32.06822003,21.18664425,18.78453039,26.55186636,382500.0,7.113142771843438,13.547631112810382
877,E02000299,71,1.2816901408450705,26.26718213,20.45747423,21.70317869,20.86554983,10.70661512,14.96993127,29.20302501,14.42699244,19.51716114,59.29982818,204500.0,4.9558766472470746,12.921470435030917
878,E02000686,340,1.1617647058823528,27.13665619,18.82951654,24.38257746,21.11959288,8.531656938,15.58149978,35.96336738,10.88411412,15.81542797,52.86633737,203000.0,6.522094960792895,12.914108438589937
879,E02000278,95,1.0947368421052632,26.49089057,20.36890347,20.85549395,20.06336992,12.22134208,12.76451284,26.84563758,14.58206223,19.40207444,39.074346500000004,209225.0,5.247051771840578,12.94431268746673
880,E02000023,276,1.210144927536232,31.42548596,21.28972539,25.59395248,15.68960197,6.0012341870000006,15.56618328,30.06993007,11.27108186,19.66269025,54.82875656,165000.0,6.313551328134495,12.706847933451845
881,E02000432,709,1.1664315937940761,15.06042764,25.84443756,33.18872017,19.13541989,6.770994732,51.54942671,33.83119139,22.16047239,12.05279611,27.50232414,349950.0,7.257003204425001,13.458692746679672
882,E02000576,11161,1.1822417346115939,16.48913507,31.77460588,25.5432467,17.11759693,9.075415424,33.17000426,42.34150856,14.62285979,9.278111985,35.79037069,448250.0,10.013328020222598,13.706253572028569
883,E02000549,640,1.1328125,20.04175365,20.77698103,22.36543524,23.55450667,13.26132341,17.10992103,23.41884684,20.34544069,21.48844298,37.25152038,224500.0,7.154615967264666,13.014778166729352
884,E02000660,1744,1.1777522935779816,15.15226541,27.59346373,34.265907399999996,16.83585046,6.152512998,44.59024511,36.10276032,21.07133096,12.35310194,38.58628373,250000.0,8.157083867224172,13.122363377408329
885,E02000821,400,1.095,23.55115669,24.73169568,24.07584069,20.11686144,7.524445504,20.39112807,28.83435583,11.10752341,15.66031644,63.83257811,219000.0,6.684613290164266,12.989974189363796
886,E02000405,6423,1.205978514712751,21.686010999999997,15.39401344,27.87110568,25.77886378,9.270006109,46.62492364,25.17647059,24.50980392,27.17647059,19.07452657,401000.0,9.46078776387762,13.594863886850206
887,E02000178,782,1.1687979539641944,13.85344925,28.84723947,30.46178164,17.81641639,9.021113244,42.27164954,42.71028037,18.80841121,8.434579439,36.91995032,400000.0,7.355002329919705,13.592367006651626
888,E02000328,313,1.1309904153354633,16.8180442,17.45382985,28.88283379,22.11625795,14.72903421,45.17105662,40.09771987,21.10749186,17.13355049,18.37723282,375000.0,6.43935292291795,13.527828485514272
