,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
485,E05000635,B,699,6,0.008583690987124463,1.17310443490701,0.38345236051502146,0.7552016139896401,0.9646344439956356
486,E05000632,D,12620,134,0.010618066561014263,1.1189381933438987,0.303844912836767,0.7506958948796725,0.21641408919322774
487,E05000643,D,15941,158,0.009911548836333982,1.1424628316918637,0.30791670535098176,0.7489499865952776,0.8735094993804592
488,E05000630,F,10499,427,0.04067054005143347,1.0845794837603582,0.2168534812839318,0.6737939270735257,1.173845636249394
489,E05000641,D,39103,344,0.008797278981152342,1.1483517888653045,0.3741990282075544,0.7599273687000901,0.24267348118901844
490,E05000642,B,617,5,0.008103727714748784,1.2755267423014587,0.44202982171799027,0.808336906579533,1.107252087608191
491,E05000631,D,2518,19,0.007545671167593328,1.205321683876092,0.3327294281175536,0.7768434005143078,0.8343682725599781
492,E05000647,D,11224,132,0.011760513186029936,1.160103349964362,0.305050766215253,0.7516082202736377,0.9688715606858929
493,E05000645,D,2021,30,0.014844136566056407,1.227115289460663,0.34994878772884713,0.7725466807888317,0.8451132568429528
494,E05000648,B,797,11,0.013801756587202008,1.191969887076537,0.28140790464240906,0.7574653457993088,0.6128694524619495
495,E05000639,D,3397,40,0.011775095672652341,1.1645569620253164,0.32185840447453634,0.7584448338297971,1.0199756679360374
496,E05000640,D,1140,13,0.011403508771929825,1.1508771929824562,0.33487114035087717,0.7514093614571278,1.0431338130684717
497,E05000634,B,1454,18,0.012379642365887207,1.1217331499312242,0.24556801925722146,0.7392671009737751,0.3887343902209295
498,E05000144,D,4919,54,0.010977841024598495,1.1685301890628177,0.32299751982110186,0.7540096504054242,1.05938459334224
499,E05000137,F,6985,95,0.013600572655690766,1.1196850393700788,0.28402674302075875,0.6997124625839597,1.3071620791100453
500,E05000140,B,1562,38,0.024327784891165175,1.1280409731113956,0.2851215108834827,0.7329580710470244,1.068274713270518
501,E05000129,D,26273,266,0.010124462375823089,1.1711643131732197,0.32240874662200736,0.7582204386357438,0.5982695885852573
502,E05000138,B,40835,383,0.009379209011877067,1.192481939512673,0.34435742622750093,0.7667501341496096,0.8367742263818623
503,E05000143,B,31406,370,0.011781188307966631,1.1333821562758708,0.3034944596573903,0.7466395755329189,0.538456081323952
504,E05000130,E,39909,592,0.014833746773910647,1.153599438723095,0.26725539602595905,0.7522180260886968,1.3417933143190366
505,E05000131,E,1475,23,0.015593220338983051,1.2074576271186441,0.3544189152542373,0.7699461991202077,1.0234450043401697
506,E05000141,B,9004,102,0.011328298533984895,1.1717014660151044,0.30581308307418925,0.7569598632342769,0.7231140309553841
507,E05000132,D,840,3,0.0035714285714285713,1.15,0.3078057142857143,0.7691766293147991,1.363751368331815
508,E05000133,F,2624,45,0.01714939024390244,1.2035060975609757,0.3318970655487805,0.7670617441409661,0.9006500244441655
509,E05000134,B,1502,10,0.006657789613848202,1.1651131824234353,0.35715439414114514,0.760060381234025,1.2955669452054928
510,E05000135,F,5108,49,0.009592795614722005,1.220830070477682,0.39746863743148003,0.7606115982955297,0.7490033389244966
511,E05000139,E,5108,53,0.010375880971025842,1.1470242756460454,0.28353228269381364,0.7393295717709866,0.6129247548280274
512,E05000145,D,3364,37,0.010998810939357907,1.187871581450654,0.336509096313912,0.745855545452711,1.1563963135675515
513,E05000128,D,2633,28,0.010634257500949488,1.1834409418913787,0.3421940751993923,0.7711516294235203,0.9195416673918566
514,E05000136,B,3319,37,0.011147936125338957,1.1825851159987948,0.3169385658330823,0.7735233855555186,1.1322240519129094
515,E05000142,B,12336,195,0.01580739299610895,1.1125162127107653,0.2901070444228275,0.7232803712754181,0.9214621740015173
516,E05000583,D,18403,264,0.01434548714883443,1.1207411835026897,0.2841779438135087,0.710017163559494,1.1600476912220123
517,E05000575,D,5098,55,0.010788544527265595,1.138485680659082,0.25928978030600236,0.7293761092958497,1.1903714763512683
518,E05000586,B,3446,41,0.011897852582704585,1.1796285548461984,0.2989019442832269,0.7592317874079987,0.9216114634708363
519,E05000585,D,18428,161,0.008736705014108965,1.1484697199913176,0.29277767527675275,0.771442338272476,1.016576166974026
520,E05000580,B,1459,16,0.010966415352981495,1.1185743660041123,0.3116318711446196,0.7517397031760539,0.9346465449991459
521,E05000574,B,2957,33,0.011159959418329387,1.1538721677375718,0.292045350016909,0.743286204784861,0.7745477491332787
522,E05000581,B,1571,21,0.01336728198599618,1.1756842775302354,0.2939439847231063,0.7623752372919873,1.1220630575892498
523,E05000573,B,7765,80,0.0103026400515132,1.2047649710238248,0.31955535093367676,0.7730359178467984,0.8864644756797975
524,E05000584,B,2712,41,0.015117994100294985,1.1412241887905605,0.23270671091445427,0.7296727968141056,0.9723579219560605
525,E05000582,B,2116,32,0.015122873345935728,1.1247637051039698,0.26204754253308127,0.7169271635899948,0.8698991831537097
526,E05000579,B,985,16,0.016243654822335026,1.115736040609137,0.2059571573604061,0.7402831106753801,0.6207038568141758
527,E05000578,B,983,15,0.015259409969481181,1.1617497456765005,0.2729382502543235,0.7565205840759713,0.6952653741120578
528,E05000577,E,4583,53,0.011564477416539385,1.1861226271001526,0.32984392319441413,0.7534583878543325,0.7963453866123988
529,E05000576,B,7047,92,0.013055200794664396,1.1755356889456505,0.29823722151270043,0.759002936703028,1.332906009085322
530,E05000589,B,5924,110,0.018568534773801486,1.1608710330857528,0.2788671505739365,0.7359664324424223,1.0191180000145157
531,E05000587,B,26089,202,0.007742726819732454,1.1928015638774963,0.3177223657480164,0.7718111178375328,0.915594938493882
532,E05000588,B,10700,75,0.007009345794392523,1.1848598130841121,0.2930614205607477,0.7737642166801668,0.9651855921234453
533,E05000370,E,13229,133,0.010053669967495654,1.1830826215133419,0.3159484390354524,0.7580575420483139,1.088836961521142
534,E05000368,B,5886,62,0.010533469249065579,1.2065919130139313,0.3247501189262657,0.7728817014739326,1.0913410436091378
535,E05000379,E,13815,151,0.010930148389431777,1.2041983351429606,0.3418009627216793,0.774041448208963,1.010776018875458
536,E05000375,E,1865,40,0.021447721179624665,1.1753351206434317,0.3180770509383378,0.7462092595183595,1.0975379779580952
537,E05000372,E,2968,23,0.00774932614555256,1.1458894878706198,0.2913352425876011,0.7286223021563509,0.9891493098627041
538,E05000373,E,9395,177,0.018839808408728047,1.0858967535923363,0.27223908461947843,0.6766429769938057,0.9451082776667623
